diseases,sintomas,texto
abdominal aortic aneurysm,"['sharp abdominal pain', 'shortness of breath', 'arm swelling', 'burning abdominal pain', 'back pain', 'palpitations']","
    Abdominal aortic aneurysm is a condition that may present symptoms such as sharp abdominal pain, shortness of breath, arm swelling, burning abdominal pain, back pain, palpitations.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
abdominal hernia,"['regurgitation', 'symptoms of the scrotum and testes', 'sharp abdominal pain', 'groin mass', 'ache all over', 'irregular belly button', 'swollen abdomen', 'regurgitation.1', 'upper abdominal pain', 'lower abdominal pain']","
    Abdominal hernia is a condition that may present symptoms such as regurgitation, symptoms of the scrotum and testes, sharp abdominal pain, groin mass, ache all over, irregular belly button, swollen abdomen, regurgitation.1, upper abdominal pain, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
abscess of nose,"['nasal congestion', 'cough', 'sore throat', 'sinus congestion', 'coryza', 'irritable infant', 'vomiting', 'fever']","
    Abscess of nose is a condition that may present symptoms such as nasal congestion, cough, sore throat, sinus congestion, coryza, irritable infant, vomiting, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
abscess of the lung,"['depressive or psychotic symptoms', 'shortness of breath', 'itchy eyelid', 'cough']","
    Abscess of the lung is a condition that may present symptoms such as depressive or psychotic symptoms, shortness of breath, itchy eyelid, cough.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
abscess of the pharynx,"['nasal congestion', 'cough', 'sharp chest pain', 'throat swelling', 'sore throat', 'headache', 'difficulty in swallowing', 'fever']","
    Abscess of the pharynx is a condition that may present symptoms such as nasal congestion, cough, sharp chest pain, throat swelling, sore throat, headache, difficulty in swallowing, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acanthosis nigricans,"['skin lesion', 'acne or pimples', 'skin growth', 'weight gain']","
    Acanthosis nigricans is a condition that may present symptoms such as skin lesion, acne or pimples, skin growth, weight gain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acariasis,"['emotional symptoms', 'skin rash', 'itching of skin', 'swelling of scrotum']","
    Acariasis is a condition that may present symptoms such as emotional symptoms, skin rash, itching of skin, swelling of scrotum.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
achalasia,"['cough', 'sharp chest pain', 'throat feels tight', 'chest tightness', 'difficulty in swallowing']","
    Achalasia is a condition that may present symptoms such as cough, sharp chest pain, throat feels tight, chest tightness, difficulty in swallowing.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acne,"['long menstrual periods', 'acne or pimples', 'skin moles', 'skin growth', 'abnormal appearing skin', 'skin dryness, peeling, scaliness, or roughness', 'irregular appearing scalp', 'skin swelling', 'skin rash']","
    Acne is a condition that may present symptoms such as long menstrual periods, acne or pimples, skin moles, skin growth, abnormal appearing skin, skin dryness, peeling, scaliness, or roughness, irregular appearing scalp, skin swelling, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
actinic keratosis,"['itching of skin', 'skin moles', 'symptoms of the face', 'skin growth', 'abnormal appearing skin', 'skin lesion', 'skin dryness, peeling, scaliness, or roughness', 'skin irritation', 'irregular appearing scalp', 'skin swelling', 'skin rash']","
    Actinic keratosis is a condition that may present symptoms such as itching of skin, skin moles, symptoms of the face, skin growth, abnormal appearing skin, skin lesion, skin dryness, peeling, scaliness, or roughness, skin irritation, irregular appearing scalp, skin swelling, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
